PRODUCT,DATE,NAME OF THE COMPANY,EMAIL ADDRESS,WEBSITE LINK,RESPONSES
Candle Holders,25/8/2026,Auberge Resorts Collection,info@aubergeresorts.com,https://www.aubergeresorts.com,Automated Reply
Candle Holders,25/8/2026,Montage International,info@montage.com,https://www.montage.com,(Sent)
Candle Holders,25/8/2026,The Post Ranch Inn Big Sur,reservations@postranchinn.com,https://www.postranchinn.com,(Sent)
Candle Holders,25/8/2026,Linen Chest Canada,info@linenchest.com,https://www.linenchest.com,(Sent)
Candle Holders,26/8/2026,Special Event Rentals Western Canada,info@specialeventrentals.com,https://www.specialeventrentals.com,(Sent)
Candle Holders,26/8/2026,Allwest Wedding Rentals Vancouver,info@allwestweddingrentals.com,https://allwestweddingrentals.com,(Sent)
Candle Holders,26/8/2026,Maison Corbeil Quebec,info@maisoncorbeil.com,https://maisoncorbeil.com,(Sent)
Candle Holders,26/8/2026,Mobilia Canada,info@mobilia.ca,https://mobilia.ca,(Sent)
Candle Holders,26/8/2026,Melissa Andre Events Toronto & LA,info@melissaandre.com,https://melissaandre.com,(Sent)
Candle Holders,26/8/2026,Alicia Keats Weddings Vancouver,info@aliciakeats.com,https://aliciakeats.com,(Sent)
Candle Holders,26/8/2026,Mjölk Design & Craft Toronto,info@mjolk.ca,https://mjolk.ca,(Sent)
Candle Holders,26/8/2026,Structube Home Canada,wholesale@structube.com,https://www.structube.com,(Sent)
Candle Holders,26/8/2026,The Drake Hotel Toronto,info@thedrakehotel.ca,https://www.thedrakehotel.ca,(Sent)
Candle Holders,26/8/2026,Grandin Road Home,trade@grandinroad.com,https://www.grandinroad.com,(Sent)
Candle Holders,26/8/2026,Z Gallerie Home,trade@zgallerie.com,https://www.zgallerie.com,(Sent)
Candle Holders,26/8/2026,High Fashion Home Houston,info@highfashionhome.com,https://www.highfashionhome.com,(Sent)
Candle Holders,26/8/2026,City Furniture Florida,trade@cityfurniture.com,https://www.cityfurniture.com,(Sent)
Candle Holders,26/8/2026,Mindy Weiss Party Consultants LA,info@mindyweiss.com,https://mindyweiss.com,(Sent)
Candle Holders,26/8/2026,One Kings Lane Luxury,trade@onekingslane.com,https://onekingslane.com,Automated Reply
Candle Holders,26/8/2026,Anthropologie Living,anthroliving@anthropologie.com,https://anthropologie.com,(Sent)
Candle Holders,26/8/2026,Urban Outfitters Home,trade@urbanoutfitters.com,https://urbanoutfitters.com,(Sent)
Candle Holders,26/8/2026,Louis Interiors Toronto,info@louisinteriors.com,https://louisinteriors.com,(Sent)
Candle Holders,26/8/2026,Klaus by Nienkamper Toronto,info@klausn.com,https://klausn.com,(Sent)
Candle Holders,26/8/2026,Jonathan Adler Chicago River North,chicago@jonathanadler.com,https://jonathanadler.com,(Sent)
Candle Holders,27/8/2026,Revel Global Events Chicago,info@therevelgroup.com,https://therevelgroup.com,(Sent)
Candle Holders,27/8/2026,Calluna Events Boulder Colorado,info@callunaevents.com,https://callunaevents.com,(Sent)
Candle Holders,27/8/2026,Donald Tea Tabletop Rentals Dallas,info@dallasparty.com,https://dallasparty.com,(Sent)
Candle Holders,27/8/2026,Bella Acento Event Rentals Dallas,info@bellaacento.com,https://bellaacento.com,(Sent)
Candle Holders,27/8/2026,Kelly Wearstler Design LA,info@kellywearstler.com,https://kellywearstler.com,(Sent)
Candle Holders,27/8/2026,Ken Fulk Design SF & NYC,info@kenfulk.com,https://kenfulk.com,(Sent)
Candle Holders,27/8/2026,Parliament Interiors Vancouver,info@parliamentinteriors.com,https://parliamentinteriors.com,(Sent)
Candle Holders,27/8/2026,Article Modern Furniture Vancouver,trade@article.com,https://www.article.com,(Sent)
Candle Holders,27/8/2026,Shopgirls Gallery Toronto,info@shopgirls.ca,https://shopgirls.ca,(Sent)
Candle Holders,27/8/2026,Coal Miner's Daughter Toronto,info@coalminersdaughter.ca,https://coalminersdaughter.ca,(Sent)
Candle Holders,27/8/2026,Spacing Store Toronto,store@spacing.ca,https://spacingstore.ca,(Sent)
Candle Holders,27/8/2026,Kid Icarus Kensington Toronto,info@kidicarus.ca,https://kidicarus.ca,(Sent)
Candle Holders,27/8/2026,Vanguard Furniture North Carolina,info@vanguardfurniture.com,https://vanguardfurniture.com,(Sent)
Candle Holders,27/8/2026,Hickory Chair North Carolina,info@hickorychair.com,https://hickorychair.com,(Sent)
Candle Holders,27/8/2026,The Greenbrier West Virginia,the_greenbrier@greenbrier.com,https://greenbrier.com,(Sent)
Candle Holders,27/8/2026,Alykhan Velji Designs Calgary,info@alyveljidesigns.com,https://alyveljidesigns.com,(Sent)
Candle Holders,27/8/2026,Reena Sotropa In House Design Calgary,info@reenasotropa.ca,https://reenasotropa.ca,(Sent)
Candle Holders,27/8/2026,Atelier Zébulon Perron Montreal,info@zebulonperron.com,https://zebulonperron.com,(Sent)
Candle Holders,27/8/2026,Appareil Architecture Montreal,info@appareilarchitecture.com,https://appareilarchitecture.com,(Sent)
Candle Holders,27/8/2026,Manulife Centre Bloor Toronto,info@manulifecentre.com,https://manulifecentre.com,(Sent)
Candle Holders,27/8/2026,Jonathan Adler Miami Design District,miami@jonathanadler.com,https://jonathanadler.com,(Sent)
Candle Holders,28/8/2026,Shinola Hotel Detroit,info@shinolahotel.com,https://shinolahotel.com,(Sent)
Candle Holders,28/8/2026,Chintz & Company Victoria BC,info@chintz.com,https://www.chintz.com,(Sent)
Candle Holders,28/8/2026,Bespoke Decor Vancouver,hello@bespokedecor.ca,https://bespokedecor.ca,(Sent)
Candle Holders,28/8/2026,Julianne Young Weddings Calgary,info@julianneyoungweddings.com,https://julianneyoungweddings.com,(Sent)
Candle Holders,28/8/2026,Lynn Fletcher Weddings Calgary,info@lynnfletcherweddings.com,https://lynnfletcherweddings.com,(Sent)
Candle Holders,28/8/2026,Cocktails & Details Events Edmonton,info@cocktailsanddetails.ca,https://cocktailsanddetails.ca,(Sent)
Candle Holders,28/8/2026,Glow The Event Store Halifax,info@glowparties.ca,https://glowparties.ca,(Sent)
Candle Holders,28/8/2026,Restoration Hardware RH Gallery NYC,rhgallery@rh.com,https://rh.com,(Sent)
Candle Holders,28/8/2026,Ethan Allen Danbury Connecticut,trade@ethanallen.com,https://ethanallen.com,(Sent)
Candle Holders,28/8/2026,Arhaus Boston Prudential Center,boston@arhaus.com,https://arhaus.com,(Sent)
Candle Holders,28/8/2026,Material Kitchen Tabletop NYC,hello@materialkitchen.com,https://materialkitchen.com,(Sent)
Candle Holders,28/8/2026,Hopson Grace Tableware Toronto,info@hopsongrace.com,https://hopsongrace.com,(Sent)
Candle Holders,28/8/2026,Provide Home Vancouver,info@providehome.com,https://providehome.com,(Sent)
Candle Holders,28/8/2026,Coriander Girl Toronto & PEC,info@coriandergirl.com,https://coriandergirl.com,(Sent)
Candle Holders,28/8/2026,ABC Carpet & Home NYC,trade@abchome.com,https://abchome.com,(Sent)
Candle Holders,28/8/2026,The Citizenry Global Artisan Home USA,assistant@the-citizenry.com,https://www.the-citizenry.com,(Sent)
Candle Holders,28/8/2026,Creative Co-Op Wholesale USA,info@creativecoop.com,https://www.creativecoop.com,(Sent)
Candle Holders,28/8/2026,Accent Decor Home & Events USA,info@accentdecor.com,https://www.accentdecor.com,Automated Reply
Candle Holders,28/8/2026,Two's Company Wholesale USA,info@twoscompany.com,https://twoscompany.com/,(Sent)
Candle Holders,31/8/2026,Raymour & Flanigan New York,trade@raymourflanigan.com,https://raymourflanigan.com,(Sent)
Candle Holders,31/8/2026,Jordan's Furniture Boston,trade@jordans.com,https://jordans.com,(Sent)
Candle Holders,31/8/2026,Living Spaces California,trade@livingspaces.com,https://livingspaces.com,(Sent)
Candle Holders,31/8/2026,Slumberland Furniture Midwest,trade@slumberland.com,https://slumberland.com,(Sent)
Candle Holders,31/8/2026,Field Study Shop Calgary,info@fieldstudyshop.com,https://fieldstudyshop.com,(Sent)
Candle Holders,31/8/2026,Carbon Environmental Boutique Edmonton,info@carbonboutique.com,https://carbonboutique.com,(Sent)
Candle Holders,31/8/2026,Red Ribbon Boutique Edmonton,info@redribbon.ca,https://redribbon.ca,(Sent)
Candle Holders,31/8/2026,Harkiss Designs New York,info@harkissdesigns.com,https://harkissdesigns.com,(Sent)
Candle Holders,31/8/2026,Huckberry Home Austin,buyers@huckberry.com,https://huckberry.com,(Sent)
Candle Holders,31/8/2026,Manready Mercantile Houston,info@manready.com,https://manready.com,(Sent)
Candle Holders,31/8/2026,Sight Unseen NYC,shop@sightunseen.com,https://sightunseen.com,(Sent)
Candle Holders,31/8/2026,The Design Co Toronto,info@thedesignco.ca,https://thedesignco.ca,(Sent)
Candle Holders,31/8/2026,Bliss Events Toronto,info@blissevents.ca,https://blissevents.ca,(Sent)
Candle Holders,31/8/2026,Mango Studios Toronto,info@mangostudios.com,https://mangostudios.com,(Sent)
Candle Holders,31/8/2026,Brightside Weddings Vancouver,info@brightsidefilms.com,https://brightsidefilms.com,(Sent)
Candle Holders,31/8/2026,Les Mauvaises Herbes Montreal,info@lesmauvaisesherbes.com,https://lesmauvaisesherbes.com,(Sent)
Candle Holders,31/8/2026,Boutique Unicorn Montreal,info@boutiqueunicorn.com,https://boutiqueunicorn.com,(Sent)
Candle Holders,31/8/2026,Paperole Montreal,info@paperole.com,https://paperole.com,(Sent)
Candle Holders,31/8/2026,Le Point d'Ancrage Quebec City,info@lepointdancrage.ca,https://lepointdancrage.ca,(Sent)
Candle Holders,31/8/2026,Article 721 Quebec City,info@article721.com,https://article721.com,(Sent)
Candle Holders,31/8/2026,Juxtapose Cards & Gifts Toronto,info@juxtaposeannex.com,https://juxtaposeannex.com,(Sent)
Candle Holders,1/9/2026,CB2 Queen West Toronto,queenwest@cb2.com,https://cb2.com,(Sent)
Candle Holders,1/9/2026,Crate and Barrel Yorkdale Toronto,yorkdale@crateandbarrel.com,https://crateandbarrel.com,(Sent)
Candle Holders,1/9/2026,Amangiri Utah Resort,amangiri@aman.com,https://aman.com,(Sent)
Candle Holders,1/9/2026,The Ritz-Carlton New York Central Park,commercial@ritzcarlton.com,https://ritzcarlton.com,(Sent)
Candle Holders,1/9/2026,St. Regis New York,stregis.newyork@stregis.com,https://stregis.com,(Sent)
Candle Holders,1/9/2026,Waldorf Astoria Beverly Hills,laxwa.info@waldorfastoria.com,https://waldorfastoria.com,(Sent)
Candle Holders,1/9/2026,Crate and Barrel Square One Mississauga,squareone@crateandbarrel.com,https://crateandbarrel.com,(Sent)
Candle Holders,1/9/2026,Amangani Jackson Hole Wyoming,amangani@aman.com,https://aman.com,(Sent)
Candle Holders,1/9/2026,The Ritz-Carlton Bachelor Gulch Colorado,rc.denrb.leads@ritzcarlton.com,https://ritzcarlton.com,(Sent)
Candle Holders,1/9/2026,St. Regis Deer Valley Utah,stregisdeervalley@stregis.com,https://stregis.com,(Sent)
Candle Holders,1/9/2026,Waldorf Astoria Chicago,chawa.info@waldorfastoria.com,https://waldorfastoria.com,(Sent)
Candle Holders,1/9/2026,1 Hotel Central Park NYC,1cp-info@1hotels.com,https://1hotels.com,(Sent)
Candle Holders,1/9/2026,Serena & Lily Summit New Jersey,summit@serenaandlily.com,https://serenaandlily.com,(Sent)
Candle Holders,1/9/2026,Rocky Mountain Weddings Banff,info@rockymountainweddings.ca,https://rockymountainweddings.ca,(Sent)
Candle Holders,1/9/2026,The Flower Cart Halifax,info@flowercart.ca,https://flowercart.ca,(Sent)
Candle Holders,1/9/2026,St. Regis Bal Harbour Miami,balharbour@stregis.com,https://stregis.com,(Sent)
Candle Holders,1/9/2026,The Langham Chicago,tlchi.info@langhamhotels.com,https://langhamhotels.com,(Sent)
Candle Holders,1/9/2026,1 Hotel West Hollywood LA,1weho-info@1hotels.com,https://1hotels.com,(Sent)
Candle Holders,1/9/2026,Serena & Lily Westport Design Shop,westport@serenaandlily.com,https://serenaandlily.com,(Sent)
Candle Holders,2/9/2026,Bassett Furniture Living,trade@bassettfurniture.com,https://bassettfurniture.com,(Sent)
Candle Holders,2/9/2026,Cardi's Furniture New England,trade@cardis.com,https://cardis.com,(Sent)
Candle Holders,2/9/2026,Simply Beautiful Decor Niagara,info@simplybeautifuldecor.ca,https://simplybeautifuldecor.ca,(Sent)
Candle Holders,2/9/2026,Divine Furniture Rental Toronto,info@divinefurniturerental.com,https://divinefurniturerental.com,Automated Reply
Candle Holders,2/9/2026,Celebrations Party Rentals Ottawa,info@celebrationsgroup.com,https://celebrationsgroup.com,(Sent)
Candle Holders,2/9/2026,1 Hotel Brooklyn Bridge NYC,1bk-info@1hotels.com,https://1hotels.com,(Sent)
Candle Holders,2/9/2026,Birch Event Design NYC,info@bircheventdesign.com,https://bircheventdesign.com,(Sent)
Candle Holders,2/9/2026,Colin Cowie Lifestyle NYC,info@colincowie.com,https://www.colincowie.com,(Sent)
Candle Holders,2/9/2026,Preston Bailey Designs NYC,info@prestonbailey.com,https://prestonbailey.com,(Sent)
Candle Holders,2/9/2026,Elte & Elte MKT Toronto,info@elte.com,https://www.elte.com,(Sent)
Candle Holders,2/9/2026,Maker House Ottawa,hello@makerhouse.com,https://makerhouse.com,(Sent)
Candle Holders,2/9/2026,Boogie & Birdie Ottawa,info@boogieandbirdie.ca,https://boogieandbirdie.ca,(Sent)
Candle Holders,2/9/2026,Logan & Finley Toronto,info@loganandfinley.com,https://loganandfinley.com,(Sent)
Candle Holders,2/9/2026,The Carlyle Rosewood NYC,thecarlyle@rosewoodhotels.com,https://rosewoodhotels.com,(Sent)
Candle Holders,2/9/2026,Hotel Bel-Air Los Angeles,info.hba@dorchestercollection.com,https://dorchestercollection.com,(Sent)
Candle Holders,2/9/2026,Auberge du Soleil Napa Valley,ads.reservations@aubergeresorts.com,https://aubergeresorts.com,(Sent)
Candle Holders,2/9/2026,Twin Farms Relais & Chateaux Vermont,info@twinfarms.com,https://twinfarms.com,(Sent)
Candle Holders,2/9/2026,Sheraton Centre Toronto Hotel,toronto.sheraton@marriott.com,https://marriott.com,(Sent)
Candle Holders,2/9/2026,The Westin Bayshore Vancouver,bayshore.vancouver@marriott.com,https://marriott.com,(Sent)
Candle Holders,2/9/2026,Fairmont Banff Springs Alberta,banffsprings@fairmont.com,https://fairmont.com,(Sent)
Candle Holders,3/9/2026,Reed & Barton Silverware,wholesale@reedandbarton.com,https://reedandbarton.com,(Sent)
Candle Holders,3/9/2026,Caraway Home Tabletop NYC,hello@carawayhome.com,https://carawayhome.com,Automated Reply
Candle Holders,3/9/2026,Our Place Tabletop LA,hello@fromourplace.com,https://fromourplace.com,(Sent)
Candle Holders,3/9/2026,Lenox Tabletop & Giftware North Carolina,info@lenox.com,https://lenox.com,(Sent)
Candle Holders,3/9/2026,Restoration Hardware South Granville Vancouver,vancouver@rh.com,https://rh.com,Automated Reply
Candle Holders,3/9/2026,Pacific Yacht Charters Vancouver,info@pacificyachtcharters.com,https://pacificyachtcharters.com,(Sent)
Candle Holders,3/9/2026,Simon Pearce Tableware Vermont,trade@simonpearce.com,https://simonpearce.com,(Sent)
Candle Holders,3/9/2026,Heath Ceramics San Francisco,trade@heathceramics.com,https://heathceramics.com,Automated Reply
Candle Holders,3/9/2026,Match Pewter Tableware NYC,info@match1995.com,https://match1995.com,(Sent)
Candle Holders,3/9/2026,Year & Day Modern Dining LA,trade@yearandday.com,https://yearandday.com,(Sent)
Candle Holders,3/9/2026,Oneida Flatware & Tabletop NY,wholesale@oneida.com,https://oneida.com,(Sent)
Candle Holders,3/9/2026,Fortessa Tableware Solutions Virginia,info@fortessa.com,https://fortessa.com,(Sent)
Candle Holders,3/9/2026,Restoration Hardware Yorkdale Toronto,yorkdale@rh.com,https://rh.com,Automated Reply
Candle Holders,3/9/2026,Celsia Floral Vancouver,events@celsiafloral.com,https://celsiafloral.com,(Sent)
Candle Holders,3/9/2026,Flur Floral & Decor Montreal,info@flur.ca,https://flur.ca,(Sent)
Candle Holders,3/9/2026,The Flower Factory Vancouver,info@flowerfactory.ca,https://flowerfactory.ca,(Sent)
Candle Holders,3/9/2026,Cory Christopher Edmonton,info@corychristopher.ca,https://corychristopher.ca,(Sent)
Candle Holders,3/9/2026,Champalimaud Design NYC,info@champalimaud.design,https://champalimaud.design,(Sent)
Candle Holders,3/9/2026,AvroKO Design NYC,info@avroko.com,https://avroko.com,(Sent)
Candle Holders,3/9/2026,Meyer Davis Studio NYC & LA,info@meyerdavis.com,https://meyerdavis.com,(Sent)
Candle Holders,3/9/2026,Jeremiah Brent Design NYC & LA,info@jeremiahbrent.com,https://jeremiahbrent.com,(Sent)
Candle Holders,4/9/2026,Chatham Bars Inn Cape Cod,welcome@chathambarsinn.com,https://chathambarsinn.com,(Sent)
Candle Holders,4/9/2026,Montage Laguna Beach California,mlbreservations@montage.com,https://montagehotels.com,(Sent)
Candle Holders,4/9/2026,Bright Event Rentals California,info@bright.com,https://bright.com,(Sent)
Candle Holders,4/9/2026,Party Rental Ltd,info@partyrentalltd.com,https://www.partyrentalltd.com,(Sent)
Candle Holders,4/9/2026,Blueprint Studios Event Design SF,info@blueprintstudios.com,https://www.blueprintstudios.com,(Sent)
Candle Holders,4/9/2026,Peak Event Services Boston & New England,info@peakeventservices.com,https://www.peakeventservices.com,(Sent)
Candle Holders,4/9/2026,Roots Canada Toronto Flagship,buyers@roots.com,https://roots.com,(Sent)
Candle Holders,4/9/2026,Briers Home & Gift Vancouver,info@briers.ca,https://briers.ca,(Sent)
Candle Holders,4/9/2026,Serena & Lily San Francisco Pacific Heights,sanfrancisco@serenaandlily.com,https://serenaandlily.com,Automated Reply
Candle Holders,4/9/2026,Surya Living & Tabletop USA,info@surya.com,https://surya.com,(Sent)
Candle Holders,4/9/2026,Casa de Perrin Luxury Tabletop LA,info@casadeperrin.com,https://www.casadeperrin.com,(Sent)
Candle Holders,4/9/2026,Taylor Creative Inc,info@taylorcreativeinc.com,https://taylorcreativeinc.com,Automated Reply
Candle Holders,4/9/2026,Giving Gifts & Company Vancouver,lisa@givinggifts.ca,https://givinggifts.ca,(Sent)
Candle Holders,4/9/2026,Free People Movement & Living Philadelphia,buyers@freepeople.com,https://freepeople.com,(Sent)
Candle Holders,4/9/2026,Serena & Lily Dallas Design District,dallas@serenaandlily.com,https://serenaandlily.com,(Sent)
Candle Holders,4/9/2026,Mitchell Gold Furniture,trade@mgbwhome.com,https://mgbwhome.com,(Sent)
Candle Holders,4/9/2026,Hooker Furniture Living,trade@hookerfurniture.com,https://hookerfurniture.com,(Sent)
Candle Holders,4/9/2026,Bernhardt Furniture North Carolina,contact@bernhardt.com,https://bernhardt.com,(Sent)
Candle Holders,4/9/2026,Century Furniture North Carolina,contact@centuryfurniture.com,https://centuryfurniture.com,(Sent)
Candle Holders,4/9/2026,Lillian August Design Connecticut & NY,info@lillianaugust.com,https://lillianaugust.com,(Sent)
Candle Holders,4/9/2026,Manoir Hovey Relais & Chateaux Quebec,info@manoirhovey.com,https://manoirhovey.com,(Sent)
Candle Holders,4/9/2026,Fairmont Jasper Park Lodge Alberta,jasperparklodge@fairmont.com,https://fairmont.com,Automated Reply
Candle Holders,4/9/2026,Fairmont Le Chateau Frontenac Quebec,chateaufrontenac@fairmont.com,https://fairmont.com,(Sent)
Candle Holders,7/9/2026,The Breakers Palm Beach Florida,commercial@thebreakers.com,https://thebreakers.com,(Sent)
Candle Holders,7/9/2026,Meg Lonergan Interiors Houston,info@meglonergan.com,https://meglonergan.com,(Sent)
Candle Holders,7/9/2026,Cortney Bishop Design Charleston,info@cortneybishop.com,https://cortneybishop.com,(Sent)
Candle Holders,7/9/2026,SFMOMA Museum Store,museumstore@sfmoma.org,https://museumstore.sfmoma.org,(Sent)
Candle Holders,7/9/2026,Getty Museum Store,bookstore@getty.edu,https://shop.getty.edu,(Sent)
Candle Holders,7/9/2026,General Store,info@shop-generalstore.com,https://shop-generalstore.com,(Sent)
Candle Holders,7/9/2026,March San Francisco Tabletop,info@marchsf.com,https://marchsf.com,Automated Reply
Candle Holders,7/9/2026,Studio Shamshiri Los Angeles,info@studioshamshiri.com,https://studioshamshiri.com,(Sent)
Candle Holders,7/9/2026,Workstead Design Studio Brooklyn,info@workstead.com,https://workstead.com,Automated Reply
Candle Holders,7/9/2026,Mark D. Sikes Interiors LA,info@markdsikes.com,https://markdsikes.com,(Sent)
Candle Holders,7/9/2026,Canadian Tire Living & Home,trade@canadiantire.ca,https://canadiantire.ca,(Sent)
Candle Holders,7/9/2026,Home Hardware Stores Canada,contact@homehardware.ca,https://homehardware.ca,(Sent)
Candle Holders,7/9/2026,Jonathan Adler Modern Home USA,trade@jonathanadler.com,https://jonathanadler.com,(Sent)
Candle Holders,7/9/2026,Westboro Village Home & Living,orders@westboroliving.ca,https://westboroliving.ca,(Sent)
Candle Holders,7/9/2026,Soma Chocolatemaker & Living Toronto,info@somachocolate.com,https://somachocolate.com,(Sent)
Candle Holders,7/9/2026,Maison Birks Canada Luxury Tabletop,info@birks.com,https://birks.com,(Sent)
Candle Holders,7/9/2026,Whitney Museum Shop NYC,shop@whitney.org,https://whitney.org,(Sent)
Candle Holders,7/9/2026,Fishs Eddy NYC Tabletop,info@fishseddy.com,https://fishseddy.com,(Sent)
Candle Holders,7/9/2026,Goodliver Los Angeles,info@good-liver.com,https://good-liver.com,(Sent)
Candle Holders,7/9/2026,The Cross Decor & Design Vancouver,shop@thecrossdesign.com,https://thecrossdesign.com,(Sent)
Candle Holders,7/9/2026,Falken Reynolds Interiors Vancouver,info@falkenreynolds.com,https://falkenreynolds.com,(Sent)
Candle Holders,7/9/2026,Sophie Burke Design Vancouver,info@sophieburkedesign.com,https://sophieburkedesign.com,(Sent)
Candle Holders,8/9/2026,Sonora Resort British Columbia,info@sonoraresort.com,https://sonoraresort.com,(Sent)
Candle Holders,8/9/2026,Zone Maison Quebec,info@zonemaison.com,https://www.zonemaison.com,(Sent)
Candle Holders,8/9/2026,Teatro Verde Luxury Living Toronto,info@teatroverde.com,https://www.teatroverde.com,(Sent)
Candle Holders,8/9/2026,Boutique Coeur d'Artichaut Montreal,info@coeurdartichaut.ca,https://coeurdartichaut.ca,(Sent)
Candle Holders,8/9/2026,Cecconi Simone Toronto,mail@cecconisimone.com,https://cecconisimone.com,(Sent)
Candle Holders,8/9/2026,Lalique Crystal & Decor NYC,trade@lalique.com,https://lalique.com,(Sent)
Candle Holders,8/9/2026,Baccarat Luxury Crystal NYC,baccarat_us@baccarat.fr,https://baccarat.com,(Sent)
Candle Holders,8/9/2026,Mason Studio Toronto,info@masonstudio.com,https://masonstudio.com,(Sent)
Candle Holders,8/9/2026,Studio Munge Toronto,info@studiomunge.com,https://studiomunge.com,(Sent)
Candle Holders,8/9/2026,DesignAgency Toronto & Montreal,info@thedesignagency.ca,https://thedesignagency.ca,(Sent)
Candle Holders,8/9/2026,Burdifilek Design Studio Toronto,info@burdifilek.com,https://burdifilek.com,(Sent)
Candle Holders,8/9/2026,Kirkland's Home Decor USA,trade@kirklands.com,https://www.kirklands.com,(Sent)
Candle Holders,8/9/2026,Horchow Luxury Tabletop USA,trade@horchow.com,https://www.horchow.com,(Sent)
Candle Holders,8/9/2026,Frontgate Luxury Living USA,trade@frontgate.com,https://www.frontgate.com,(Sent)
Candle Holders,8/9/2026,Year & Day Tableware California,hello@yearandday.com,https://yearandday.com,(Sent)
Candle Holders,8/9/2026,Wicker Park Home Accents,buyers@wickerparkhome.com,https://wickerparkhome.com,(Sent)
Candle Holders,8/9/2026,Ballard Artisan Home & Decor,buyers@ballardhome.com,https://ballardhome.com,(Sent)
Candle Holders,8/9/2026,Hawkins New York Lifestyle,trade@hawkinsnewyork.com,https://hawkinsnewyork.com,(Sent)
Candle Holders,8/9/2026,Sasha Souza Events California,info@sashasouzaevents.com,https://sashasouzaevents.com,(Sent)
Candle Holders,8/9/2026,Marcy Blum Associates NYC,info@marcyblum.com,https://marcyblum.com,(Sent)
Candle Holders,8/9/2026,Bryan Rafanelli Events Boston & NYC,info@rafanellievents.com,https://rafanellievents.com,(Sent)
